1000, 45056, 1, 0, 0
2000, 90202, 1, 0, 0
3000, 76800, 1, 0, 0
4000, 88152, 1, 0, 0
5000, 94208, 1, 0, 0
6000, 89177, 1, 0, 0
7000, 90112, 1, 0, 0
8000, 91227, 1, 0, 0
9000, 89088, 1, 0, 0
10000, 94302, 1, 0, 0
11000, 87040, 1, 0, 0
12000, 93184, 1, 0, 0
13000, 72776, 1, 0, 0
14000, 53248, 1, 0, 0
15000, 93277, 1, 0, 0
16000, 90112, 1, 0, 0
17000, 91227, 1, 0, 0
18000, 91227, 1, 0, 0
19000, 88064, 1, 0, 0
20000, 94302, 1, 0, 0
21000, 88064, 1, 0, 0
22000, 93277, 1, 0, 0
23000, 89177, 1, 0, 0
24000, 91136, 1, 0, 0
25000, 91136, 1, 0, 0
26000, 88152, 1, 0, 0
27000, 95327, 1, 0, 0
28000, 73728, 1, 0, 0
29000, 91136, 1, 0, 0
30000, 91227, 1, 0, 0
31000, 88064, 1, 0, 0
32000, 93277, 1, 0, 0
33000, 65536, 1, 0, 0
34000, 90112, 1, 0, 0
35000, 90202, 1, 0, 0
36001, 89088, 1, 0, 0
37000, 93277, 1, 0, 0
38001, 49152, 1, 0, 0
39000, 17425, 1, 0, 0
40000, 62464, 1, 0, 0
41000, 93277, 1, 0, 0
42000, 87040, 1, 0, 0
43000, 94302, 1, 0, 0
44000, 88064, 1, 0, 0
45000, 92160, 1, 0, 0
46000, 90202, 1, 0, 0
47000, 81920, 1, 0, 0
48000, 94302, 1, 0, 0
49000, 88152, 1, 0, 0
50000, 93184, 1, 0, 0
51000, 89088, 1, 0, 0
52000, 90202, 1, 0, 0
53000, 92160, 1, 0, 0
54000, 88152, 1, 0, 0
55000, 95232, 1, 0, 0
56000, 87127, 1, 0, 0
57000, 92160, 1, 0, 0
58000, 90202, 1, 0, 0
59000, 90112, 1, 0, 0
60001, 93184, 1, 0, 0
61000, 82002, 1, 0, 0
62000, 94208, 1, 0, 0
63000, 87127, 1, 0, 0
64000, 92160, 1, 0, 0
65000, 91227, 1, 0, 0
66000, 89177, 1, 0, 0
67000, 94208, 1, 0, 0
68003, 87888, 1, 0, 0
69032, 92548, 1, 0, 0
70033, 89088, 1, 0, 0
71033, 91136, 1, 0, 0
72034, 92160, 1, 0, 0
73034, 89088, 1, 0, 0
74035, 93184, 1, 0, 0
75035, 87040, 1, 0, 0
76035, 93184, 1, 0, 0
77036, 90112, 1, 0, 0
78037, 91136, 1, 0, 0
79037, 91136, 1, 0, 0
80037, 88064, 1, 0, 0
81038, 94208, 1, 0, 0
82038, 88064, 1, 0, 0
83039, 93184, 1, 0, 0
84039, 90112, 1, 0, 0
85040, 90112, 1, 0, 0
86040, 91136, 1, 0, 0
87040, 88064, 1, 0, 0
88041, 95232, 1, 0, 0
89041, 79872, 1, 0, 0
90042, 92160, 1, 0, 0
91042, 84992, 1, 0, 0
92042, 88064, 1, 0, 0
93047, 93832, 1, 0, 0
94047, 88064, 1, 0, 0
95047, 93184, 1, 0, 0
96048, 90112, 1, 0, 0
97049, 91136, 1, 0, 0
98049, 94208, 1, 0, 0
99049, 73728, 1, 0, 0
100050, 94208, 1, 0, 0
101050, 89088, 1, 0, 0
102051, 92160, 1, 0, 0
103052, 91136, 1, 0, 0
104052, 89088, 1, 0, 0
105053, 92160, 1, 0, 0
106053, 88064, 1, 0, 0
107054, 94208, 1, 0, 0
108054, 89088, 1, 0, 0
109055, 91136, 1, 0, 0
110058, 91884, 1, 0, 0
111058, 88064, 1, 0, 0
112059, 93184, 1, 0, 0
113059, 88064, 1, 0, 0
114060, 94208, 1, 0, 0
115060, 89088, 1, 0, 0
116061, 91136, 1, 0, 0
117061, 90112, 1, 0, 0
118062, 89088, 1, 0, 0
119062, 94208, 1, 0, 0
120063, 88064, 1, 0, 0
121063, 88064, 1, 0, 0
122063, 90112, 1, 0, 0
123064, 89088, 1, 0, 0
124064, 93184, 1, 0, 0
125065, 88064, 1, 0, 0
126065, 94208, 1, 0, 0
127066, 88064, 1, 0, 0
128066, 91136, 1, 0, 0
129067, 91136, 1, 0, 0
130067, 90112, 1, 0, 0
131068, 93184, 1, 0, 0
132068, 87040, 1, 0, 0
133069, 95232, 1, 0, 0
134069, 87040, 1, 0, 0
135069, 90112, 1, 0, 0
136070, 89088, 1, 0, 0
137071, 88064, 1, 0, 0
138071, 92160, 1, 0, 0
139072, 86016, 1, 0, 0
140072, 91136, 1, 0, 0
141073, 88064, 1, 0, 0
142073, 90112, 1, 0, 0
143074, 90112, 1, 0, 0
144075, 87040, 1, 0, 0
145075, 92160, 1, 0, 0
146076, 86016, 1, 0, 0
147076, 91136, 1, 0, 0
148077, 88064, 1, 0, 0
149077, 90112, 1, 0, 0
150077, 90112, 1, 0, 0
151078, 80896, 1, 0, 0
152078, 92160, 1, 0, 0
153079, 85930, 1, 0, 0
154080, 91136, 1, 0, 0
155080, 89088, 1, 0, 0
156081, 73728, 1, 0, 0
157081, 92160, 1, 0, 0
158082, 84992, 1, 0, 0
159082, 75776, 1, 0, 0
160083, 89088, 1, 0, 0
161083, 88064, 1, 0, 0
162084, 91136, 1, 0, 0
163085, 87040, 1, 0, 0
164085, 92160, 1, 0, 0
165085, 87040, 1, 0, 0
166086, 90112, 1, 0, 0
167087, 89088, 1, 0, 0
168087, 88064, 1, 0, 0
169088, 92160, 1, 0, 0
170088, 86016, 1, 0, 0
171089, 91136, 1, 0, 0
172089, 88064, 1, 0, 0
173090, 90112, 1, 0, 0
174090, 90112, 1, 0, 0
175090, 87040, 1, 0, 0
176091, 92160, 1, 0, 0
177091, 86016, 1, 0, 0
178092, 91136, 1, 0, 0
179092, 88064, 1, 0, 0
180092, 90112, 1, 0, 0
181093, 83968, 1, 0, 0
182093, 87040, 1, 0, 0
183094, 92160, 1, 0, 0
184094, 86016, 1, 0, 0
185095, 91136, 1, 0, 0
186095, 89088, 1, 0, 0
187096, 87040, 1, 0, 0
188096, 92160, 1, 0, 0
189097, 84907, 1, 0, 0
190098, 93184, 1, 0, 0
191098, 87040, 1, 0, 0
192099, 90112, 1, 0, 0
193099, 89088, 1, 0, 0
194099, 88064, 1, 0, 0
195100, 91136, 1, 0, 0
196100, 86016, 1, 0, 0
197101, 92160, 1, 0, 0
198101, 88064, 1, 0, 0
199102, 90112, 1, 0, 0
200102, 90112, 1, 0, 0
201102, 86016, 1, 0, 0
202103, 92160, 1, 0, 0
203103, 87040, 1, 0, 0
204104, 91136, 1, 0, 0
205104, 88064, 1, 0, 0
206105, 89088, 1, 0, 0
207105, 90112, 1, 0, 0
208106, 87040, 1, 0, 0
209106, 92160, 1, 0, 0
210107, 87040, 1, 0, 0
211107, 84992, 1, 0, 0
212107, 88064, 1, 0, 0
213108, 89088, 1, 0, 0
214108, 91136, 1, 0, 0
215109, 86016, 1, 0, 0
216109, 93184, 1, 0, 0
217110, 87040, 1, 0, 0
218115, 88644, 1, 0, 0
219116, 94208, 1, 0, 0
220116, 89088, 1, 0, 0
221117, 91136, 1, 0, 0
222117, 87040, 1, 0, 0
223118, 92160, 1, 0, 0
224118, 87040, 1, 0, 0
225119, 89088, 1, 0, 0
226119, 90112, 1, 0, 0
227120, 88064, 1, 0, 0
228120, 91136, 1, 0, 0
229121, 87040, 1, 0, 0
230121, 92160, 1, 0, 0
231122, 73728, 1, 0, 0
232122, 89088, 1, 0, 0
233123, 91136, 1, 0, 0
234124, 87040, 1, 0, 0
235124, 92160, 1, 0, 0
236127, 86866, 1, 0, 0
237127, 90112, 1, 0, 0
238126, 89177, 1, 0, 0
239127, 71680, 1, 0, 0
240127, 92160, 1, 0, 0
241126, 74826, 1, 0, 0
242127, 90112, 1, 0, 0
243127, 89088, 1, 0, 0
244126, 88152, 1, 0, 0
245127, 91136, 1, 0, 0
246127, 86016, 1, 0, 0
247126, 68676, 1, 0, 0
248127, 89088, 1, 0, 0
249126, 87127, 1, 0, 0
250127, 91136, 1, 0, 0
251127, 87040, 1, 0, 0
252126, 92252, 1, 0, 0
253127, 87040, 1, 0, 0
254126, 90202, 1, 0, 0
255127, 89088, 1, 0, 0
256126, 88152, 1, 0, 0
257127, 91136, 1, 0, 0
258126, 87127, 1, 0, 0
259126, 92160, 1, 0, 0
260127, 87040, 1, 0, 0
261126, 89177, 1, 0, 0
262127, 90112, 1, 0, 0
263126, 87127, 1, 0, 0
264126, 92160, 1, 0, 0
265127, 87040, 1, 0, 0
266126, 91227, 1, 0, 0
